DC Bus;Pack;Pack;pack-charge;Battery;Status
Ahr;V;Ahr;%;degC;Condition
2196.670;363.900;2196.670;21.970;28.840;Ok
2210.000;364.470;2210.000;22.100;28.840;Ok
2256.670;356.270;2256.670;22.570;28.840;Ok
2230.000;360.460;2230.000;22.300;28.840;Ok
2213.330;360.460;2213.330;22.130;28.840;Ok
2213.330;357.580;2213.330;22.130;28.840;Ok
2206.670;356.290;2206.670;22.070;28.840;Ok
2196.670;360.460;2196.670;21.970;28.840;Ok
2200.000;359.140;2200.000;22.000;28.840;Ok
2193.330;360.460;2193.330;21.930;28.840;Ok
2196.670;360.460;2196.670;21.970;28.840;Ok
2193.330;363.880;2193.330;21.930;28.840;Ok
2170.000;364.470;2170.000;21.700;29.050;Ok
2186.670;360.460;2186.670;21.870;29.050;Ok
2183.330;360.460;2183.330;21.830;29.050;Ok
2193.330;359.980;2193.330;21.930;29.050;Ok
2223.330;356.270;2223.330;22.230;29.050;Ok
2263.330;360.460;2263.330;22.630;29.050;Ok
2306.670;360.460;2306.670;23.070;29.050;Ok
2346.670;360.460;2346.670;23.470;29.050;Ok
2376.670;364.660;2376.670;23.770;29.050;Ok
2350.000;362.440;2350.000;23.500;29.050;Ok
2326.670;360.460;2326.670;23.270;29.050;Ok
2316.670;360.460;2316.670;23.170;29.050;Ok
2316.670;360.460;2316.670;23.170;29.050;Ok
2326.670;356.250;2326.670;23.270;29.050;Ok
2336.670;357.770;2336.670;23.370;29.050;Ok
2340.000;360.460;2340.000;23.400;29.050;Ok
2343.330;360.460;2343.330;23.430;29.050;Ok
2350.000;362.660;2350.000;23.500;29.050;Ok
2336.670;364.660;2336.670;23.370;29.050;Ok
2393.330;360.460;2393.330;23.930;29.050;Ok
2486.670;360.460;2486.670;24.870;29.050;Ok
2463.330;360.420;2463.330;24.630;29.050;Ok
2480.000;356.270;2480.000;24.800;29.050;Ok
2503.330;360.080;2503.330;25.030;29.050;Ok
2480.000;360.460;2480.000;24.800;29.050;Ok
2506.670;360.460;2506.670;25.070;29.050;Ok
2533.330;364.530;2533.330;25.330;29.150;Ok
2536.670;364.660;2536.670;25.370;29.150;Ok
2556.670;361.220;2556.670;25.570;29.150;Ok
2546.670;360.460;2546.670;25.470;29.150;Ok
2543.330;360.460;2543.330;25.430;29.150;Ok
2543.330;356.630;2543.330;25.430;29.150;Ok
2546.670;356.730;2546.670;25.470;29.150;Ok
2546.670;360.460;2546.670;25.470;29.150;Ok
2553.330;360.460;2553.330;25.530;29.150;Ok
2546.670;361.370;2546.670;25.470;29.150;Ok
2516.670;364.660;2516.670;25.170;29.150;Ok
2516.670;360.460;2516.670;25.170;29.150;Ok
2510.000;360.460;2510.000;25.100;29.150;Ok
2506.670;360.460;2506.670;25.070;29.470;Ok
2503.330;356.270;2503.330;25.030;29.470;Ok
2493.330;359.140;2493.330;24.930;29.470;Ok
2486.670;360.460;2486.670;24.870;29.470;Ok
2486.670;360.460;2486.670;24.870;29.470;Ok
2473.330;363.900;2473.330;24.730;29.470;Ok
2440.000;364.470;2440.000;24.400;29.470;Ok
2460.000;360.460;2460.000;24.600;29.470;Ok
2460.000;360.460;2460.000;24.600;29.470;Ok
2453.330;359.980;2453.330;24.530;29.470;Ok
2426.670;356.250;2426.670;24.270;29.470;Ok
2393.330;360.460;2393.330;23.930;29.470;Ok
2380.000;360.460;2380.000;23.800;29.470;Ok
2373.330;360.460;2373.330;23.730;29.680;Ok
2356.670;364.640;2356.670;23.570;29.680;Ok
2376.670;362.440;2376.670;23.770;29.680;Ok
2356.670;360.460;2356.670;23.570;29.680;Ok
2340.000;356.270;2340.000;23.400;29.680;Ok
